groupid,nrdiff,sum_total_time_group_min,sum_total_time_group_hr,avgTimeAllPairsOfGroup_min,avgTimeAllPairsOfGroup_hr,medianTimeAllPairsOfGroup_min,stdTimeAllPairsOfGroup_min,avgTimeSingleConfig_sec,stdTimeSingleConfig_sec,avgNrSuccessfulConfig,avgNrTimeoutConfig
1,2,14.649833333333333,0.2441638888888889,7.324916666666667,0.12208194444444445,7.324916666666667,4.98695,0.18312291666666666,0.12467375000000001,2400,0
2,27,710.55565,11.842594166666666,26.316875925925924,0.4386145987654321,16.5517,34.210134686912504,0.657921898148148,0.8552533671728125,2400,0
3,4,28.386533333333333,0.4731088888888889,7.096633333333333,0.11827722222222223,5.6695166666666665,6.219553805204464,0.17741583333333333,0.1554888451301116,2400,0
4,39,714.0605833333333,11.901009722222222,18.309245726495725,0.30515409544159544,10.29805,27.162261862637084,0.45773114316239316,0.679056546565927,2400,0
5,13,673.8836666666666,11.231394444444444,51.83720512820513,0.8639534188034188,12.267583333333333,94.28033431426145,1.295930128205128,2.3570083578565364,2400,0
6,24,712.22365,11.870394166666667,29.675985416666666,0.49459975694444447,3.975258333333333,71.02930286495749,0.7418996354166667,1.7757325716239374,2400,0
7,8,160.81025,2.6801708333333334,20.10128125,0.3350213541666667,19.604375,15.215182450638276,0.50253203125,0.38037956126595684,2400,0
8,5,36.75046666666667,0.6125077777777778,7.350093333333333,0.12250155555555554,1.0600833333333333,13.239775987650916,0.18375233333333332,0.33099439969127287,2400,0
9,7,213.4012,3.5566866666666668,30.485885714285715,0.5080980952380952,14.979283333333333,36.843060540695475,0.7621471428571428,0.9210765135173867,2400,0
10,8,464.17205,7.736200833333333,58.02150625,0.9670251041666666,12.01035,125.21027680408513,1.45053765625,3.130256920102129,2400,0
11,2,45.71375,0.7618958333333333,22.856875,0.38094791666666666,22.856875,22.822175,0.571421875,0.570554375,2400,0
12,3,34.371316666666665,0.5728552777777778,11.457105555555556,0.19095175925925928,4.309683333333333,11.893957407567285,0.2864276388888889,0.2973489351891821,2400,0
13,25,710.3533166666666,11.839221944444445,28.414132666666667,0.4735688777777778,11.74505,42.96971734165055,0.7103533166666667,1.074242933541264,2400,0
14,21,660.74225,11.012370833333334,31.463916666666666,0.5243986111111111,3.0143833333333334,70.20754599673361,0.7865979166666666,1.7551886499183402,2400,0
15,9,491.00303333333335,8.183383888888889,54.55589259259259,0.9092648765432099,25.211166666666667,86.65890055125492,1.3638973148148148,2.166472513781373,2400,0
16,6,297.84391666666664,4.964065277777777,49.640652777777774,0.8273442129629629,13.74655,70.241399447982,1.2410163194444443,1.7560349861995497,2400,0
17,25,638.4435833333333,10.640726388888888,25.537743333333335,0.4256290555555556,13.988066666666667,32.44244336644377,0.6384435833333333,0.8110610841610941,2400,0
18,9,82.02415,1.3670691666666666,9.113794444444444,0.15189657407407406,5.049033333333333,11.495036206535755,0.2278448611111111,0.28737590516339384,2400,0
19,12,154.77746666666667,2.5796244444444443,12.898122222222224,0.21496870370370372,2.43465,28.072582987282907,0.3224530555555556,0.7018145746820728,2400,0
20,7,77.93221666666666,1.2988702777777779,11.133173809523809,0.1855528968253968,3.11225,14.207746735967719,0.2783293452380952,0.355193668399193,2400,0
21,8,271.04498333333333,4.517416388888889,33.88062291666667,0.5646770486111111,11.727425,47.51259011076618,0.8470155729166666,1.1878147527691545,2400,0
22,14,715.44005,11.924000833333332,51.10286071428571,0.8517143452380952,16.61445,79.44432354805745,1.277571517857143,1.9861080887014366,2400,0
23,28,679.3491666666666,11.322486111111111,24.26247023809524,0.404374503968254,9.616541666666667,40.18307585626743,0.6065617559523809,1.004576896406686,2400,0
24,11,633.81785,10.563630833333333,57.61980454545455,0.9603300757575758,17.314966666666667,77.11773960502204,1.4404951136363635,1.9279434901255508,2400,0
25,25,682.1674,11.369456666666666,27.286696,0.45477826666666665,12.147316666666667,43.39252555951269,0.6821674,1.0848131389878173,2400,0
26,3,84.28795,1.4047991666666666,28.095983333333333,0.4682663888888889,25.47671666666667,23.909962372064047,0.7023995833333333,0.597749059301601,2400,0
27,19,614.3619333333334,10.239365555555555,32.33483859649123,0.5389139766081872,7.4512833333333335,52.27114047066627,0.8083709649122807,1.3067785117666562,2400,0
28,29,718.5755666666666,11.976259444444445,24.778467816091954,0.41297446360153256,4.0206333333333335,46.303175255305575,0.6194616954022988,1.1575793813826394,2400,0
29,5,412.39821666666666,6.873303611111111,82.47964333333333,1.374660722222222,5.3764666666666665,156.75232448621034,2.0619910833333335,3.9188081121552587,2400,0
30,20,641.5117,10.691861666666666,32.075585000000004,0.5345930833333333,10.914941666666667,46.535117696432856,0.801889625,1.1633779424108215,2400,0
31,30,675.142,11.252366666666667,22.504733333333334,0.3750788888888889,9.707416666666667,22.113016205542667,0.5626183333333333,0.5528254051385668,2400,0
32,2,489.3958666666667,8.156597777777778,244.69793333333334,4.078298888888889,244.69793333333334,239.69978333333333,6.117448333333334,5.992494583333334,2400,0
33,2,85.5837,1.426395,42.79185,0.7131975,42.79185,42.37786666666667,1.0697962499999998,1.0594466666666666,2400,0
35,16,455.5663833333333,7.592773055555556,28.47289895833333,0.47454831597222225,22.643291666666666,28.66421084607685,0.7118224739583334,0.7166052711519212,2400,0
36,12,712.0635,11.867725,59.338625,0.9889770833333333,23.907933333333332,104.74949205156776,1.483465625,2.6187373012891935,2400,0
37,7,679.81035,11.3301725,97.11576428571429,1.6185960714285714,40.7256,143.0685250639935,2.427894107142857,3.5767131265998375,2400,0
38,10,704.9922666666666,11.74987111111111,70.49922666666666,1.174987111111111,32.427908333333335,117.73788329570883,1.7624806666666666,2.943447082392721,2400,0
39,3,43.191716666666665,0.7198619444444444,14.39723888888889,0.2399539814814815,10.81485,12.532749005714862,0.35993097222222226,0.31331872514287157,2400,0
40,7,445.4768833333333,7.4246147222222225,63.63955476190476,1.060659246031746,19.1617,103.19137296827289,1.590988869047619,2.579784324206822,2400,0
